codigo_producto,fecha,cantidad_vendida,promo,feria,lluvia
SINCROCIP,2014-08-01,765,1,0,0
SINCROCIP,2014-09-01,808,0,0,1
SINCROCIP,2014-10-01,921,1,0,1
SINCROCIP,2014-11-01,956,1,0,1
SINCROCIP,2014-12-01,691,0,1,0
SINCROCIP,2015-01-01,649,0,0,0
SINCROCIP,2015-02-01,615,0,0,0
SINCROCIP,2015-03-01,686,0,1,0
SINCROCIP,2015-04-01,738,1,0,0
SINCROCIP,2015-05-01,618,0,0,0
SINCROCIP,2015-06-01,618,0,0,0
SINCROCIP,2015-07-01,696,1,0,0
SINCROCIP,2015-08-01,627,0,0,0
SINCROCIP,2015-09-01,979,1,0,1
SINCROCIP,2015-10-01,854,0,0,1
SINCROCIP,2015-11-01,1028,1,0,1
SINCROCIP,2015-12-01,723,1,0,0
SINCROCIP,2016-01-01,632,0,0,0
SINCROCIP,2016-02-01,564,0,0,0
SINCROCIP,2016-03-01,687,0,0,0
SINCROCIP,2016-04-01,615,0,0,0
SINCROCIP,2016-05-01,630,0,0,0
SINCROCIP,2016-06-01,764,1,0,0
SINCROCIP,2016-07-01,619,0,0,0
SINCROCIP,2016-08-01,709,1,0,0
SINCROCIP,2016-09-01,817,0,0,1
SINCROCIP,2016-10-01,900,0,0,1
SINCROCIP,2016-11-01,865,0,0,1
SINCROCIP,2016-12-01,759,1,0,0
SINCROCIP,2017-01-01,778,1,0,0
SINCROCIP,2017-02-01,731,1,0,0
SINCROCIP,2017-03-01,737,1,0,0
SINCROCIP,2017-04-01,632,0,0,0
SINCROCIP,2017-05-01,580,0,0,0
SINCROCIP,2017-06-01,722,0,1,0
SINCROCIP,2017-07-01,597,0,0,0
SINCROCIP,2017-08-01,765,0,1,0
SINCROCIP,2017-09-01,880,0,0,1
SINCROCIP,2017-10-01,1046,1,0,1
SINCROCIP,2017-11-01,961,0,0,1
SINCROCIP,2017-12-01,708,0,1,0
SINCROCIP,2018-01-01,695,0,0,0
SINCROCIP,2018-02-01,764,1,0,0
SINCROCIP,2018-03-01,634,0,0,0
SINCROCIP,2018-04-01,613,0,0,0
SINCROCIP,2018-05-01,819,1,1,0
SINCROCIP,2018-06-01,636,0,0,0
SINCROCIP,2018-07-01,684,0,0,0
SINCROCIP,2018-08-01,861,1,1,0
SINCROCIP,2018-09-01,1065,1,1,1
SINCROCIP,2018-10-01,945,0,1,1
SINCROCIP,2018-11-01,937,0,0,1
SINCROCIP,2018-12-01,760,1,0,0
SINCROCIP,2019-01-01,683,0,0,0
SINCROCIP,2019-02-01,615,0,0,0
SINCROCIP,2019-03-01,777,1,0,0
SINCROCIP,2019-04-01,665,0,0,0
SINCROCIP,2019-05-01,627,0,0,0
SINCROCIP,2019-06-01,758,1,0,0
SINCROCIP,2019-07-01,772,0,0,0
SINCROCIP,2019-08-01,747,0,0,0
SINCROCIP,2019-09-01,1025,1,0,1
SINCROCIP,2019-10-01,921,0,0,1
SINCROCIP,2019-11-01,942,0,0,1
SINCROCIP,2019-12-01,709,0,0,0
SINCROCIP,2020-01-01,656,0,0,0
SINCROCIP,2020-02-01,761,1,0,0
SINCROCIP,2020-03-01,704,0,0,0
SINCROCIP,2020-04-01,620,0,0,0
SINCROCIP,2020-05-01,791,1,0,0
SINCROCIP,2020-06-01,636,0,0,0
SINCROCIP,2020-07-01,827,1,0,0
SINCROCIP,2020-08-01,680,0,0,0
SINCROCIP,2020-09-01,810,0,0,1
SINCROCIP,2020-10-01,871,0,0,1
SINCROCIP,2020-11-01,1018,0,1,1
SINCROCIP,2020-12-01,822,1,0,0
SINCROCIP,2021-01-01,631,0,0,0
SINCROCIP,2021-02-01,812,0,1,0
SINCROCIP,2021-03-01,862,1,0,0
SINCROCIP,2021-04-01,844,1,0,0
SINCROCIP,2021-05-01,698,0,0,0
SINCROCIP,2021-06-01,630,0,0,0
SINCROCIP,2021-07-01,719,0,0,0
SINCROCIP,2021-08-01,676,0,0,0
SINCROCIP,2021-09-01,1018,1,0,1
SINCROCIP,2021-10-01,991,1,0,1
SINCROCIP,2021-11-01,959,0,0,1
SINCROCIP,2021-12-01,586,0,0,0
SINCROCIP,2022-01-01,661,0,0,0
SINCROCIP,2022-02-01,690,0,0,0
SINCROCIP,2022-03-01,676,0,0,0
SINCROCIP,2022-04-01,849,1,0,0
SINCROCIP,2022-05-01,725,0,0,0
SINCROCIP,2022-06-01,717,0,0,0
SINCROCIP,2022-07-01,898,1,0,0
SINCROCIP,2022-08-01,672,0,0,0
SINCROCIP,2022-09-01,992,0,0,1
SINCROCIP,2022-10-01,843,0,0,1
SINCROCIP,2022-11-01,1029,0,1,1
SINCROCIP,2022-12-01,676,0,0,0
SINCROCIP,2023-01-01,703,0,0,0
SINCROCIP,2023-02-01,727,0,0,0
SINCROCIP,2023-03-01,742,0,0,0
SINCROCIP,2023-04-01,756,0,0,0
SINCROCIP,2023-05-01,801,0,1,0
SINCROCIP,2023-06-01,788,0,1,0
SINCROCIP,2023-07-01,669,0,0,0
SINCROCIP,2023-08-01,856,1,0,0
SINCROCIP,2023-09-01,978,0,0,1
SINCROCIP,2023-10-01,924,0,0,1
SINCROCIP,2023-11-01,1055,1,0,1
SINCROCIP,2023-12-01,690,0,0,0
SINCROCIP,2024-01-01,702,0,0,0
SINCROCIP,2024-02-01,755,0,0,0
SINCROCIP,2024-03-01,769,0,0,0
SINCROCIP,2024-04-01,802,0,1,0
SINCROCIP,2024-05-01,784,0,0,0
SINCROCIP,2024-06-01,653,0,0,0
SINCROCIP,2024-07-01,675,0,0,0
SINCROCIP,2024-08-01,737,0,0,0
SINCROCIP,2024-09-01,1049,1,0,1
SINCROCIP,2024-10-01,904,0,0,1
SINCROCIP,2024-11-01,933,0,0,1
SINCROCIP,2024-12-01,676,0,0,0
SINCROCIP,2025-01-01,708,0,0,0
SINCROCIP,2025-02-01,706,0,0,0
SINCROCIP,2025-03-01,787,0,0,0
SINCROCIP,2025-04-01,800,0,1,0
SINCROCIP,2025-05-01,783,0,1,0
SINCROCIP,2025-06-01,688,0,0,0
SINCROCIP,2025-07-01,789,0,0,0
SINCROCIP,2025-08-01,738,0,0,0
SINCROCIP,2025-09-01,1020,0,0,1
SINCROCIP,2025-10-01,1011,0,1,1
SINCROCIP,2025-11-01,977,0,0,1
SINCROCIP,2025-12-01,825,0,1,0
SINCROFORTE,2008-01-01,251,0,0,0
SINCROFORTE,2008-02-01,235,0,0,0
SINCROFORTE,2008-03-01,230,0,0,0
SINCROFORTE,2008-04-01,292,0,1,0
SINCROFORTE,2008-05-01,359,0,0,1
SINCROFORTE,2008-06-01,337,0,0,1
SINCROFORTE,2008-07-01,378,0,0,1
SINCROFORTE,2008-08-01,423,1,0,1
SINCROFORTE,2008-09-01,287,1,0,0
SINCROFORTE,2008-10-01,240,0,0,0
SINCROFORTE,2008-11-01,247,0,0,0
SINCROFORTE,2008-12-01,241,0,0,0
SINCROFORTE,2009-01-01,277,0,0,0
SINCROFORTE,2009-02-01,260,0,0,0
SINCROFORTE,2009-03-01,254,0,0,0
SINCROFORTE,2009-04-01,323,1,0,0
SINCROFORTE,2009-05-01,377,0,0,1
SINCROFORTE,2009-06-01,373,0,0,1
SINCROFORTE,2009-07-01,334,0,0,1
SINCROFORTE,2009-08-01,336,0,0,1
SINCROFORTE,2009-09-01,250,0,0,0
SINCROFORTE,2009-10-01,334,1,0,0
SINCROFORTE,2009-11-01,288,1,0,0
SINCROFORTE,2009-12-01,303,0,1,0
SINCROFORTE,2010-01-01,271,0,0,0
SINCROFORTE,2010-02-01,300,0,1,0
SINCROFORTE,2010-03-01,324,1,0,0
SINCROFORTE,2010-04-01,285,1,0,0
SINCROFORTE,2010-05-01,409,1,0,1
SINCROFORTE,2010-06-01,379,0,0,1
SINCROFORTE,2010-07-01,368,0,0,1
SINCROFORTE,2010-08-01,421,1,0,1
SINCROFORTE,2010-09-01,330,1,0,0
SINCROFORTE,2010-10-01,257,0,0,0
SINCROFORTE,2010-11-01,256,0,0,0
SINCROFORTE,2010-12-01,328,1,0,0
SINCROFORTE,2011-01-01,256,0,0,0
SINCROFORTE,2011-02-01,312,0,1,0
SINCROFORTE,2011-03-01,302,0,1,0
SINCROFORTE,2011-04-01,287,0,0,0
SINCROFORTE,2011-05-01,389,0,0,1
SINCROFORTE,2011-06-01,366,0,0,1
SINCROFORTE,2011-07-01,405,0,0,1
SINCROFORTE,2011-08-01,383,0,0,1
SINCROFORTE,2011-09-01,290,0,1,0
SINCROFORTE,2011-10-01,238,0,0,0
SINCROFORTE,2011-11-01,299,0,1,0
SINCROFORTE,2011-12-01,234,0,0,0
SINCROFORTE,2012-01-01,308,1,0,0
SINCROFORTE,2012-02-01,252,0,0,0
SINCROFORTE,2012-03-01,269,0,0,0
SINCROFORTE,2012-04-01,281,0,0,0
SINCROFORTE,2012-05-01,397,0,0,1
SINCROFORTE,2012-06-01,361,0,0,1
SINCROFORTE,2012-07-01,389,0,0,1
SINCROFORTE,2012-08-01,423,1,0,1
SINCROFORTE,2012-09-01,287,0,0,0
SINCROFORTE,2012-10-01,279,0,0,0
SINCROFORTE,2012-11-01,309,1,0,0
SINCROFORTE,2012-12-01,254,0,0,0
SINCROFORTE,2013-01-01,316,1,0,0
SINCROFORTE,2013-02-01,251,0,0,0
SINCROFORTE,2013-03-01,279,0,1,0
SINCROFORTE,2013-04-01,266,0,0,0
SINCROFORTE,2013-05-01,380,0,0,1
SINCROFORTE,2013-06-01,410,0,0,1
SINCROFORTE,2013-07-01,401,0,0,1
SINCROFORTE,2013-08-01,374,0,0,1
SINCROFORTE,2013-09-01,263,0,0,0
SINCROFORTE,2013-10-01,303,0,1,0
SINCROFORTE,2013-11-01,290,0,0,0
SINCROFORTE,2013-12-01,259,0,0,0
SINCROFORTE,2014-01-01,273,0,0,0
SINCROFORTE,2014-02-01,306,1,0,0
SINCROFORTE,2014-03-01,275,0,0,0
SINCROFORTE,2014-04-01,311,1,0,0
SINCROFORTE,2014-05-01,424,1,0,1
SINCROFORTE,2014-06-01,418,0,0,1
SINCROFORTE,2014-07-01,382,0,0,1
SINCROFORTE,2014-08-01,453,1,0,1
SINCROFORTE,2014-09-01,308,0,0,0
SINCROFORTE,2014-10-01,279,0,0,0
SINCROFORTE,2014-11-01,370,1,1,0
SINCROFORTE,2014-12-01,275,0,0,0
SINCROFORTE,2015-01-01,289,0,0,0
SINCROFORTE,2015-02-01,283,0,0,0
SINCROFORTE,2015-03-01,289,0,0,0
SINCROFORTE,2015-04-01,301,0,0,0
SINCROFORTE,2015-05-01,417,0,0,1
SINCROFORTE,2015-06-01,389,0,0,1
SINCROFORTE,2015-07-01,388,0,0,1
SINCROFORTE,2015-08-01,455,1,0,1
SINCROFORTE,2015-09-01,279,0,0,0
SINCROFORTE,2015-10-01,313,0,1,0
SINCROFORTE,2015-11-01,336,1,0,0
SINCROFORTE,2015-12-01,276,0,0,0
SINCROFORTE,2016-01-01,319,0,1,0
SINCROFORTE,2016-02-01,325,1,0,0
SINCROFORTE,2016-03-01,281,0,0,0
SINCROFORTE,2016-04-01,295,0,0,0
SINCROFORTE,2016-05-01,416,0,0,1
SINCROFORTE,2016-06-01,400,0,0,1
SINCROFORTE,2016-07-01,395,0,0,1
SINCROFORTE,2016-08-01,446,1,0,1
SINCROFORTE,2016-09-01,310,0,1,0
SINCROFORTE,2016-10-01,265,0,0,0
SINCROFORTE,2016-11-01,278,0,0,0
SINCROFORTE,2016-12-01,286,0,0,0
SINCROFORTE,2017-01-01,304,0,0,0
SINCROFORTE,2017-02-01,287,0,0,0
SINCROFORTE,2017-03-01,332,0,1,0
SINCROFORTE,2017-04-01,322,0,0,0
SINCROFORTE,2017-05-01,397,0,0,1
SINCROFORTE,2017-06-01,412,0,0,1
SINCROFORTE,2017-07-01,411,0,1,1
SINCROFORTE,2017-08-01,463,1,0,1
SINCROFORTE,2017-09-01,288,0,0,0
SINCROFORTE,2017-10-01,352,1,0,0
SINCROFORTE,2017-11-01,259,0,0,0
SINCROFORTE,2017-12-01,355,1,0,0
SINCROFORTE,2018-01-01,287,0,0,0
SINCROFORTE,2018-02-01,289,0,0,0
SINCROFORTE,2018-03-01,291,0,0,0
SINCROFORTE,2018-04-01,324,0,0,0
SINCROFORTE,2018-05-01,420,0,0,1
SINCROFORTE,2018-06-01,417,0,0,1
SINCROFORTE,2018-07-01,382,0,0,1
SINCROFORTE,2018-08-01,421,0,0,1
SINCROFORTE,2018-09-01,297,0,0,0
SINCROFORTE,2018-10-01,290,0,0,0
SINCROFORTE,2018-11-01,293,0,0,0
SINCROFORTE,2018-12-01,290,0,0,0
SINCROFORTE,2019-01-01,314,0,0,0
SINCROFORTE,2019-02-01,300,0,0,0
SINCROFORTE,2019-03-01,302,0,0,0
SINCROFORTE,2019-04-01,319,0,0,0
SINCROFORTE,2019-05-01,419,0,0,1
SINCROFORTE,2019-06-01,414,0,0,1
SINCROFORTE,2019-07-01,440,0,0,1
SINCROFORTE,2019-08-01,412,0,0,1
SINCROFORTE,2019-09-01,312,0,0,0
SINCROFORTE,2019-10-01,358,1,0,0
SINCROFORTE,2019-11-01,335,0,0,0
SINCROFORTE,2019-12-01,323,0,0,0
SINCROFORTE,2020-01-01,337,0,1,0
SINCROFORTE,2020-02-01,310,0,0,0
SINCROFORTE,2020-03-01,329,0,0,0
SINCROFORTE,2020-04-01,360,0,1,0
SINCROFORTE,2020-05-01,454,0,0,1
SINCROFORTE,2020-06-01,413,0,0,1
SINCROFORTE,2020-07-01,449,0,0,1
SINCROFORTE,2020-08-01,433,0,0,1
SINCROFORTE,2020-09-01,323,0,0,0
SINCROFORTE,2020-10-01,330,0,0,0
SINCROFORTE,2020-11-01,321,0,0,0
SINCROFORTE,2020-12-01,321,0,0,0
SINCROFORTE,2021-01-01,363,1,0,0
SINCROFORTE,2021-02-01,343,1,0,0
SINCROFORTE,2021-03-01,333,0,0,0
SINCROFORTE,2021-04-01,333,0,0,0
SINCROFORTE,2021-05-01,437,0,0,1
SINCROFORTE,2021-06-01,506,0,1,1
SINCROFORTE,2021-07-01,451,0,0,1
SINCROFORTE,2021-08-01,399,0,0,1
SINCROFORTE,2021-09-01,303,0,0,0
SINCROFORTE,2021-10-01,353,0,1,0
SINCROFORTE,2021-11-01,374,1,0,0
SINCROFORTE,2021-12-01,306,0,0,0
SINCROFORTE,2022-01-01,339,0,0,0
SINCROFORTE,2022-02-01,321,0,0,0
SINCROFORTE,2022-03-01,383,1,0,0
SINCROFORTE,2022-04-01,347,0,0,0
SINCROFORTE,2022-05-01,439,0,0,1
SINCROFORTE,2022-06-01,451,0,1,1
SINCROFORTE,2022-07-01,435,0,0,1
SINCROFORTE,2022-08-01,460,1,0,1
SINCROFORTE,2022-09-01,342,0,0,0
SINCROFORTE,2022-10-01,335,0,0,0
SINCROFORTE,2022-11-01,414,1,1,0
SINCROFORTE,2022-12-01,362,1,0,0
SINCROFORTE,2023-01-01,333,0,0,0
SINCROFORTE,2023-02-01,340,0,0,0
SINCROFORTE,2023-03-01,366,0,0,0
SINCROFORTE,2023-04-01,336,0,0,0
SINCROFORTE,2023-05-01,429,0,0,1
SINCROFORTE,2023-06-01,464,1,0,1
SINCROFORTE,2023-07-01,411,0,0,1
SINCROFORTE,2023-08-01,421,0,0,1
SINCROFORTE,2023-09-01,300,0,0,0
SINCROFORTE,2023-10-01,385,1,0,0
SINCROFORTE,2023-11-01,357,1,0,0
SINCROFORTE,2023-12-01,338,0,0,0
SINCROFORTE,2024-01-01,310,0,0,0
SINCROFORTE,2024-02-01,374,1,0,0
SINCROFORTE,2024-03-01,322,0,0,0
SINCROFORTE,2024-04-01,376,0,1,0
SINCROFORTE,2024-05-01,464,0,0,1
SINCROFORTE,2024-06-01,439,0,0,1
SINCROFORTE,2024-07-01,462,0,0,1
SINCROFORTE,2024-08-01,443,0,0,1
SINCROFORTE,2024-09-01,301,0,0,0
SINCROFORTE,2024-10-01,312,0,0,0
SINCROFORTE,2024-11-01,319,0,0,0
SINCROFORTE,2024-12-01,329,0,0,0
SINCROFORTE,2025-01-01,401,1,0,0
SINCROFORTE,2025-02-01,387,1,0,0
SINCROFORTE,2025-03-01,329,0,0,0
SINCROFORTE,2025-04-01,330,0,0,0
SINCROFORTE,2025-05-01,474,0,0,1
SINCROFORTE,2025-06-01,406,0,0,1
SINCROFORTE,2025-07-01,443,0,0,1
SINCROFORTE,2025-08-01,428,0,1,1
SINCROFORTE,2025-09-01,357,0,0,0
SINCROFORTE,2025-10-01,329,0,0,0
SINCROFORTE,2025-11-01,386,1,0,0
SINCROFORTE,2025-12-01,315,0,0,0
RESOLUTOR,2008-01-01,138,1,0,0
RESOLUTOR,2008-02-01,100,0,0,0
RESOLUTOR,2008-03-01,153,0,0,1
RESOLUTOR,2008-04-01,178,1,0,1
RESOLUTOR,2008-05-01,106,0,0,0
RESOLUTOR,2008-06-01,111,0,0,0
RESOLUTOR,2008-07-01,135,0,1,0
RESOLUTOR,2008-08-01,135,0,1,0
RESOLUTOR,2008-09-01,171,0,1,1
RESOLUTOR,2008-10-01,179,1,0,1
RESOLUTOR,2008-11-01,117,0,0,0
RESOLUTOR,2008-12-01,102,0,0,0
RESOLUTOR,2009-01-01,110,0,0,0
RESOLUTOR,2009-02-01,151,1,1,0
RESOLUTOR,2009-03-01,176,0,1,1
RESOLUTOR,2009-04-01,163,0,0,1
RESOLUTOR,2009-05-01,106,0,0,0
RESOLUTOR,2009-06-01,115,0,1,0
RESOLUTOR,2009-07-01,113,0,0,0
RESOLUTOR,2009-08-01,113,0,0,0
RESOLUTOR,2009-09-01,183,0,1,1
RESOLUTOR,2009-10-01,150,0,0,1
RESOLUTOR,2009-11-01,118,0,0,0
RESOLUTOR,2009-12-01,100,0,0,0
RESOLUTOR,2010-01-01,114,0,0,0
RESOLUTOR,2010-02-01,117,0,0,0
RESOLUTOR,2010-03-01,165,0,0,1
RESOLUTOR,2010-04-01,151,0,0,1
RESOLUTOR,2010-05-01,131,1,0,0
RESOLUTOR,2010-06-01,119,0,0,0
RESOLUTOR,2010-07-01,110,0,0,0
RESOLUTOR,2010-08-01,112,0,0,0
RESOLUTOR,2010-09-01,157,0,0,1
RESOLUTOR,2010-10-01,180,0,1,1
RESOLUTOR,2010-11-01,117,0,0,0
RESOLUTOR,2010-12-01,122,0,0,0
RESOLUTOR,2011-01-01,117,0,0,0
RESOLUTOR,2011-02-01,126,0,0,0
RESOLUTOR,2011-03-01,158,0,0,1
RESOLUTOR,2011-04-01,188,1,0,1
RESOLUTOR,2011-05-01,119,0,0,0
RESOLUTOR,2011-06-01,131,0,1,0
RESOLUTOR,2011-07-01,123,0,0,0
RESOLUTOR,2011-08-01,113,0,0,0
RESOLUTOR,2011-09-01,168,0,0,1
RESOLUTOR,2011-10-01,157,0,0,1
RESOLUTOR,2011-11-01,125,0,0,0
RESOLUTOR,2011-12-01,118,0,0,0
RESOLUTOR,2012-01-01,135,1,0,0
RESOLUTOR,2012-02-01,130,0,0,0
RESOLUTOR,2012-03-01,164,0,0,1
RESOLUTOR,2012-04-01,182,0,0,1
RESOLUTOR,2012-05-01,147,1,0,0
RESOLUTOR,2012-06-01,106,0,0,0
RESOLUTOR,2012-07-01,124,0,0,0
RESOLUTOR,2012-08-01,154,1,0,0
RESOLUTOR,2012-09-01,174,0,0,1
RESOLUTOR,2012-10-01,178,1,0,1
RESOLUTOR,2012-11-01,123,0,0,0
RESOLUTOR,2012-12-01,144,1,1,0
RESOLUTOR,2013-01-01,127,0,0,0
RESOLUTOR,2013-02-01,133,1,0,0
RESOLUTOR,2013-03-01,201,1,0,1
RESOLUTOR,2013-04-01,172,0,0,1
RESOLUTOR,2013-05-01,129,1,0,0
RESOLUTOR,2013-06-01,132,1,0,0
RESOLUTOR,2013-07-01,128,0,0,0
RESOLUTOR,2013-08-01,107,0,0,0
RESOLUTOR,2013-09-01,171,0,0,1
RESOLUTOR,2013-10-01,183,0,0,1
RESOLUTOR,2013-11-01,117,0,0,0
RESOLUTOR,2013-12-01,128,0,1,0
RESOLUTOR,2014-01-01,124,0,0,0
RESOLUTOR,2014-02-01,140,0,1,0
RESOLUTOR,2014-03-01,170,0,0,1
RESOLUTOR,2014-04-01,199,1,0,1
RESOLUTOR,2014-05-01,114,0,0,0
RESOLUTOR,2014-06-01,134,0,0,0
RESOLUTOR,2014-07-01,116,0,0,0
RESOLUTOR,2014-08-01,125,0,0,0
RESOLUTOR,2014-09-01,183,0,0,1
RESOLUTOR,2014-10-01,169,0,0,1
RESOLUTOR,2014-11-01,155,1,0,0
RESOLUTOR,2014-12-01,134,0,0,0
RESOLUTOR,2015-01-01,119,0,0,0
RESOLUTOR,2015-02-01,161,1,1,0
RESOLUTOR,2015-03-01,184,0,0,1
RESOLUTOR,2015-04-01,201,1,0,1
RESOLUTOR,2015-05-01,125,0,0,0
RESOLUTOR,2015-06-01,122,0,0,0
RESOLUTOR,2015-07-01,123,0,0,0
RESOLUTOR,2015-08-01,125,0,0,0
RESOLUTOR,2015-09-01,172,0,0,1
RESOLUTOR,2015-10-01,187,1,0,1
RESOLUTOR,2015-11-01,147,1,0,0
RESOLUTOR,2015-12-01,112,0,0,0
RESOLUTOR,2016-01-01,119,0,0,0
RESOLUTOR,2016-02-01,133,0,0,0
RESOLUTOR,2016-03-01,170,0,0,1
RESOLUTOR,2016-04-01,175,0,0,1
RESOLUTOR,2016-05-01,118,0,0,0
RESOLUTOR,2016-06-01,126,0,0,0
RESOLUTOR,2016-07-01,122,0,0,0
RESOLUTOR,2016-08-01,111,0,0,0
RESOLUTOR,2016-09-01,167,0,0,1
RESOLUTOR,2016-10-01,178,0,0,1
RESOLUTOR,2016-11-01,137,1,0,0
RESOLUTOR,2016-12-01,118,0,0,0
RESOLUTOR,2017-01-01,156,1,0,0
RESOLUTOR,2017-02-01,132,0,0,0
RESOLUTOR,2017-03-01,193,0,0,1
RESOLUTOR,2017-04-01,185,0,0,1
RESOLUTOR,2017-05-01,137,0,0,0
RESOLUTOR,2017-06-01,123,0,0,0
RESOLUTOR,2017-07-01,131,0,0,0
RESOLUTOR,2017-08-01,140,0,0,0
RESOLUTOR,2017-09-01,196,0,1,1
RESOLUTOR,2017-10-01,194,0,0,1
RESOLUTOR,2017-11-01,132,0,0,0
RESOLUTOR,2017-12-01,128,0,0,0
RESOLUTOR,2018-01-01,130,0,0,0
RESOLUTOR,2018-02-01,145,0,0,0
RESOLUTOR,2018-03-01,160,0,0,1
RESOLUTOR,2018-04-01,191,1,0,1
RESOLUTOR,2018-05-01,143,1,0,0
RESOLUTOR,2018-06-01,154,1,0,0
RESOLUTOR,2018-07-01,129,0,0,0
RESOLUTOR,2018-08-01,153,0,1,0
RESOLUTOR,2018-09-01,182,0,0,1
RESOLUTOR,2018-10-01,177,0,0,1
RESOLUTOR,2018-11-01,144,0,0,0
RESOLUTOR,2018-12-01,142,0,0,0
RESOLUTOR,2019-01-01,168,0,1,0
RESOLUTOR,2019-02-01,151,1,0,0
RESOLUTOR,2019-03-01,185,0,0,1
RESOLUTOR,2019-04-01,186,0,0,1
RESOLUTOR,2019-05-01,158,0,1,0
RESOLUTOR,2019-06-01,171,1,1,0
RESOLUTOR,2019-07-01,141,0,0,0
RESOLUTOR,2019-08-01,156,1,0,0
RESOLUTOR,2019-09-01,172,0,0,1
RESOLUTOR,2019-10-01,179,0,0,1
RESOLUTOR,2019-11-01,138,0,0,0
RESOLUTOR,2019-12-01,135,0,0,0
RESOLUTOR,2020-01-01,138,0,0,0
RESOLUTOR,2020-02-01,142,0,0,0
RESOLUTOR,2020-03-01,201,0,0,1
RESOLUTOR,2020-04-01,184,0,0,1
RESOLUTOR,2020-05-01,142,0,0,0
RESOLUTOR,2020-06-01,128,0,0,0
RESOLUTOR,2020-07-01,140,0,0,0
RESOLUTOR,2020-08-01,129,0,0,0
RESOLUTOR,2020-09-01,189,0,0,1
RESOLUTOR,2020-10-01,169,0,0,1
RESOLUTOR,2020-11-01,121,0,0,0
RESOLUTOR,2020-12-01,138,0,0,0
RESOLUTOR,2021-01-01,138,0,0,0
